STARTED:[2015-02-16|00:04:47]
[2015-02-16|04:41:15];1;15;Cellcom GN;READY;COM17
[2015-02-16|04:46:41];1;16;Cellcom GN;READY;COM22
[2015-02-16|04:46:41];1;16;Cellcom GN;READY;COM20
[2015-02-16|04:46:43];1;15;Cellcom GN;READY;COM16
[2015-02-16|04:46:46];1;15;Cellcom GN;READY;COM17
[2015-02-16|04:52:11];1;16;Cellcom GN;READY;COM22
[2015-02-16|04:52:13];1;16;Cellcom GN;READY;COM20
[2015-02-16|04:52:14];1;15;Cellcom GN;READY;COM16
[2015-02-16|04:52:17];1;15;Cellcom GN;READY;COM17
[2015-02-16|04:57:41];1;16;Cellcom GN;READY;COM22
[2015-02-16|04:57:43];1;16;Cellcom GN;READY;COM20
[2015-02-16|04:57:44];1;15;Cellcom GN;READY;COM16
[2015-02-16|04:57:47];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:03:11];1;16;Cellcom GN;READY;COM22
[2015-02-16|05:03:13];1;16;Cellcom GN;READY;COM20
[2015-02-16|05:03:15];1;15;Cellcom GN;READY;COM16
[2015-02-16|05:03:17];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:08:41];1;16;Cellcom GN;READY;COM22
[2015-02-16|05:08:43];1;16;Cellcom GN;READY;COM20
[2015-02-16|05:08:45];1;15;Cellcom GN;READY;COM16
[2015-02-16|05:08:48];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:14:11];1;16;Cellcom GN;READY;COM22
[2015-02-16|05:14:13];1;16;Cellcom GN;READY;COM20
[2015-02-16|05:14:15];1;15;Cellcom GN;READY;COM16
[2015-02-16|05:14:18];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:19:41];1;16;Cellcom GN;READY;COM22
[2015-02-16|05:19:43];1;16;Cellcom GN;READY;COM20
[2015-02-16|05:19:45];1;15;Cellcom GN;READY;COM16
[2015-02-16|05:19:49];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:25:08];1;16;Cellcom GN;READY;COM22
[2015-02-16|05:25:09];1;16;Cellcom GN;READY;COM20
[2015-02-16|05:25:12];1;15;Cellcom GN;READY;COM16
[2015-02-16|05:25:16];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:35:40];1;16;Cellcom GN;READY;COM22
[2015-02-16|05:35:40];1;16;Cellcom GN;READY;COM20
[2015-02-16|05:35:41];1;15;Cellcom GN;READY;COM16
[2015-02-16|05:35:43];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:39:48];700;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:39:49];701;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:39:50];702;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:39:50];703;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:39:51];704;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:39:52];705;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:40:52];1;16;Cellcom GN;READY;COM22
[2015-02-16|05:40:53];1;16;Cellcom GN;READY;COM20
[2015-02-16|05:40:55];1;15;Cellcom GN;READY;COM16
[2015-02-16|05:40:57];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:44:48];706;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:50];707;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:51];708;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:52];709;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:53];710;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:54];711;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:54];712;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:55];713;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:56];714;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:57];715;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:58];716;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:44:59];717;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:46:15];1;15;Cellcom GN;READY;COM16
[2015-02-16|05:46:16];1;13;Cellcom GN;READY;COM22
[2015-02-16|05:46:16];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:46:18];1;13;Cellcom GN;READY;COM20
[2015-02-16|05:51:18];1;15;Cellcom GN;READY;COM16
[2015-02-16|05:51:19];1;16;Cellcom GN;READY;COM22
[2015-02-16|05:51:20];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:51:22];1;16;Cellcom GN;READY;COM20
[2015-02-16|05:54:48];718;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:49];719;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:50];720;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:51];721;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:51];722;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:52];723;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:54];724;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:55];725;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:56];726;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:57];727;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:58];728;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:54:59];729;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:00];730;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:01];731;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:02];732;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:04];733;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:05];734;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:06];735;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:07];736;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:09];737;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:10];738;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:11];739;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:11];740;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:55:12];741;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|05:56:22];1;16;Cellcom GN;READY;COM22
[2015-02-16|05:56:22];1;15;Cellcom GN;READY;COM16
[2015-02-16|05:56:24];1;15;Cellcom GN;READY;COM17
[2015-02-16|05:56:25];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:01:41];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:01:42];1;15;Cellcom GN;READY;COM16
[2015-02-16|06:01:43];1;15;Cellcom GN;READY;COM17
[2015-02-16|06:01:44];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:07:11];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:07:13];1;15;Cellcom GN;READY;COM17
[2015-02-16|06:07:13];1;15;Cellcom GN;READY;COM16
[2015-02-16|06:07:15];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:12:41];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:12:44];1;15;Cellcom GN;READY;COM16
